Study GUID,Reference,,,,,,,
CG15AdultST145,"Roach P, Trautmann M, Arora V et al . Improved postprandial blood glucose control and reduced nocturnal hypoglycemia during treatment with two novel insulin lispro-protamine formulations, insulin lispro mix25 and insulin lispro mix50. Mix50 Study Group. Clinical Therapeutics 1999; 21 :523–34.",,,,,,,
CG15AdultST146,"Holleman F, Schmitt H, Rottiers R et al . Reduced frequency of severe hypoglycemia and coma in well-controlled IDDM patients treated with insulin lispro. The Benelux-UK Insulin Lispro Study Group. Diabetes Care 1997; 20 :1827–32.",,,,,,,
CG15AdultST147,"Ahmed AB, Home PD. The effect of the insulin analog lispro on nighttime blood glucose control in type 1 diabetic patients. Diabetes Care 1998; 21 :32–7.",,,,,,,
CG15AdultST148,"Brunelle RL, Llewelyn J, Anderson JH et al . Meta-analysis of the effect of insulin lispro on severe hypoglycemia in patients with type 1 diabetes. Diabetes Care 1998; 21 :1726–31.",,,,,,,
CG15AdultST149,"Shukla VK, Otten N. Insulin lispro: a critical evaluation . Ottawa: Canadian Coordinating Office for Health Technology Assessment; Issue 5, Feb 1999.",,,,,,,
CG15AdultST150,"Home PD, Lindholm A, Hylleberg B, Round P. Improved glycemic control with insulin aspart: a multicenter randomized double-blind crossover trial in type 1 diabetic patients. UK Insulin Aspart Study Group. Diabetes Care 1998; 21 :1904–9.",,,,,,,
CG15AdultST151,"Zinman B, Ross S, Campos RV, Strack T. Effectiveness of human ultralente versus NPH insulin in providing basal insulin replacement for an insulin lispro multiple daily injection regimen: a double-blind randomized prospective trial. Diabetes Care 1999; 22 :603–8.",,,,,,,
CG15AdultST152,"Hermansen K, Madsbad S, Perrild H et al . Comparison of the soluble basal insulin analog insulin detemir with NPH insulin: a randomized open crossover trial in type 1 diabetic subjects on basal-bolus therapy. Diabetes Care 2001; 24 :296–301.",,,,,,,
CG15AdultST153,"Stades AM, Hoekstra JB, van den Tweel I et al ; STABILITY Study Group. Additional lunchtime basal insulin during insulin lispro intensive therapy in a randomized, multicenter, crossover study in adults: a real-life design. Diabetes Care 2002; 25 :712–7.",,,,,,,
CG15AdultST154,"Fanelli CG, Pampanelli S, Porcellati F et al . Administration of neutral protamine Hagedorn insulin at bedtime versus with dinner in type 1 diabetes mellitus to avoid nocturnal hypoglycemia and improve control. A randomized, controlled trial. Annals of Internal Medicine 2002; 136 :504–14.",,,,,,,
CG15AdultST155,"Dunbar JM, Madden PM, Gleeson DT et al . Premixed insulin preparations in pen syringes maintain glycemic control and are preferred by patients. Diabetes Care 1994; 17 :874–8.",,,,,,,
CG15AdultST156,"DeVries JH, Snoek FJ, Kostense PJ et al ; Dutch Insulin Pump Study Group. A randomized trial of continuous subcutaneous insulin infusion and intensive injection therapy in type 1 diabetes for patients with long-standing poor glycemic control. Diabetes Care 2002; 25 :2074–80.",,,,,,,
CG15AdultST157,"Hollander P, Pi-Sunyer X, Coniff RF. Acarbose in the treatment of type I diabetes. Diabetes Care 1997; 20 : 248–53.",,,,,,,
CG15AdultST158,"Riccardi G, Giacco R, Parillo M et al . Efficacy and safety of acarbose in the treatment of Type 1 diabetes mellitus: a placebo-controlled, double-blind, multicentre study. Diabetic Medicine 1999; 16 :228–32.",,,,,,,
CG15AdultST159,"Viviani GL, Camogliano L, Borgoglio MG et al . Acarbose treatment in insulin-dependent diabetics. A double-blind crossover study. Current Therapeutic Research, Clinical Experimental 1987; 42 :1–11.",,,,,,,
CG15AdultST160,"Marena S, Tagliaferro V, Cavallero G et al . Double-blind crossover study of acarbose in type 1 diabetic patients. Diabetic Medicine 1991; 8 :674–8.",,,,,,,
CG15AdultST161,"Gums JG, Curry RW Jr, Montes de Oca G et al . Treatment of type I diabetes with a combination of glyburide and insulin. Annals of Pharmacotherapy 1992; 26 :757–62.",,,,,,,
CG15AdultST162,"Goldman J, Tamayo RC, Whitehouse FW, Kahkonen DM. Effect of glyburide on metabolic control and insulin binding in insulin-dependent diabetes mellitus. Diabetes Care 1984; 7 (Suppl 1):106–12. 160 Type 1 diabetes in adults: national clinical guideline for diagnosis and management",,,,,,,
CG15AdultST163,"Burke BJ, Hartog M, Waterfield MR. Improved diabetic control in insulin-dependent diabetics treated with insulin and glibenclamide. Acta Endocrinologica 1984; 107 :70–7.",,,,,,,
CG15AdultST164,"Fallucca F, Sciullo E, Maldonato A. Combined therapy with insulin and sulfonylurea for the treatment of new-onset insulin-dependent diabetes mellitus. Hormone and Metabolic Research 1996; 28 :86–8.",,,,,,,
CG15AdultST165,"National Institute for Clinical Excellence. Guidance on the use of continuous subcutaneous insulin infusion for diabetes . London: NICE, 2003.",,,,,,,
CG15AdultST166,"Murray DP, Keenan P, Gayer E et al . A randomized trial of the efficacy and acceptability of a pen injector. Diabetic Medicine 1988; 5 :750–4.",,,,,,,
CG15AdultST167,"Bantle JP, Neal L, Frankamp LM. Effects of the anatomical region used for insulin injections on glycemia in type I diabetes subjects. Diabetes Care 1993; 16 :1592–7.",,,,,,,
CG15AdultST168,"de Meijer PH, Lutterman JA, van Lier HJ, van’t Laar A. The variability of the absorption of subcutaneously injected insulin: effect of injection technique and relation with brittleness. Diabetic Medicine 1990; 7 : 499–505.",,,,,,,
CG15AdultST169,"Fleming DR, Jacober SJ, Vandenberg MA et al . The safety of injecting insulin through clothing. Diabetes Care 1997; 20 :244–7.",,,,,,,
CG15AdultST170,"Kinsley BT, Weinger K, Bajaj M et al . Blood glucose awareness training and epinephrine responses to hypoglycemia during intensive treatment in type 1 diabetes. Diabetes Care 1999; 22 :1022–8.",,,,,,,
CG15AdultST171,"Fritsche A, Stumvoll M, Renn W, Schmulling RM. Diabetes teaching program improves glycemic control and preserves perception of hypoglycemia. Diabetes Research and Clinical Practice 1998; 40 :129–35.",,,,,,,
CG15AdultST172,"Patrick AW, Collier A, Hepburn DA et al . Comparison of intramuscular glucagon and intravenous dextrose in the treatment of hypoglycaemic coma in an accident and emergency department. Archives of Emergency Medicine 1990; 7 :73–7.",,,,,,,
CG15AdultST173,"Collier A, Steedman DJ, Patrick AW et al . Comparison of intravenous glucagon and dextrose in treatment of severe hypoglycemia in an accident and emergency department. Diabetes Care 1987; 10 :712–5.",,,,,,,
CG15AdultST174,"Scottish Intercollegiate Guidelines Network. Management of diabetes. A national clinical guideline . SIGN Publication No.55. Edinburgh: SIGN, 2001.",,,,,,,
CG15AdultST175,"Kanters SD, Banga JD, Stolk RP, Algra A. Incidence and determinants of mortality and cardiovascular events in diabetes mellitus: a meta-analysis. Vascular Medicine 1999; 4 :67–75.",,,,,,,
CG15AdultST176,"Pignone MP, Phillips CJ, Atkins D et al . Screening and treating adults for lipid disorders. American Journal of Preventive Medicine 2001; 20 (3 Suppl):77–89.",,,,,,,
CG15AdultST177,"Bayly GR, Bartlett WA, Davies PH et al . Laboratory-based calculation of coronary heart disease risk in a hospital diabetic clinic. Diabetic Medicine 1999; 16 :697–701.",,,,,,,
CG15AdultST178,"Game FL, Bartlett WA, Bayly GR, Jones AF. Comparative accuracy of cardiovascular risk prediction methods in patients with diabetes mellitus. Diabetes, Obesity and Metabolism 2001; 3 :279–86.",,,,,,,
CG15AdultST179,"Game FL, Jones AF. Coronary heart disease risk assessment in diabetes mellitus – a comparison of PROCAM and Framingham risk assessment functions. Diabetic Medicine 2001; 18 :355–9.",,,,,,,
CG15AdultST180,"Jones AF, Walker J, Jewkes C et al . Comparative accuracy of cardiovascular risk prediction methods in primary care patients. Heart 2001; 85 :37–43.",,,,,,,
CG15AdultST181,"Scottish Intercollegiate Guidelines Network. Lipids and the primary prevention of coronary heart disease . SIGN Publication No.40. Edinburgh: SIGN, 1999.",,,,,,,
CG15AdultST182,"Rustemeijer C, Schouten JA, Janssens EN et al . Pravastatin in diabetes associated hypercholesterolemia. Acta Diabetologica 1997; 34 :294–300.",,,,,,,
CG15AdultST183,"Raskin P, Ganda OP, Schwartz S et al . Efficacy and safety of pravastatin in the treatment of patients with type I or type II diabetes mellitus and hypercholesterolemia. American Journal of Medicine 1995; 99 :362–9. 161 References",,,,,,,
CG15AdultST184,"Goldberg RB, Mellies MJ, Sacks FM et al . Cardiovascular events and their reduction with pravastatin in diabetic and glucose-intolerant myocardial infarction survivors with average cholesterol levels: subgroup analyses in the cholesterol and recurrent events (CARE) trial. The Care Investigators. Circulation 1998; 98 :2513–9.",,,,,,,
CG15AdultST185,"Sartor G, Katzman P, Eizyk E et al . Simvastatin treatment of hypercholesterolemia in patients with insulin dependent diabetes mellitus. International Journal of Clinical Pharmacology and Therapeutics 1995; 33 :3–6.",,,,,,,
CG15AdultST186,"Hommel E, Andersen P, Gall MA et al . Plasma lipoproteins and renal function during simvastatin treatment in diabetic nephropathy. Diabetologia 1992; 35 :447–51.",,,,,,,
CG15AdultST187,"Winocour PH, Durrington PN, Bhatnagar D et al . Double-blind placebo-controlled study of the effects of bezafibrate on blood lipids, lipoproteins, and fibrinogen in hyperlipidaemic type 1 diabetes mellitus. Diabetic Medicine 1990; 7 :736–43.",,,,,,,
CG15AdultST188,"NHS Centre for Reviews and Dissemination. Aspirin for the secondary prophylaxis of vascular disease in primary care . Newcastle: University of Newcastle upon Tyne, Centre for Health Services Research; York: University of York, Centre for Health Economics, 1998.",,,,,,,
CG15AdultST189,ETDRS Investigators. Aspirin effects on mortality and morbidity in patients with diabetes mellitus. Early Treatment Diabetic Retinopathy Study report14. Journal of the American Medical Association 1992; 268 : 1292–300.,,,,,,,
CG15AdultST190,"Roffi M, Chew DP, Mukherjee D et al . Platelet glycoprotein IIb/IIIa inhibitors reduce mortality in diabetic patients with non-ST-segment-elevation acute coronary syndromes. Circulation 2001; 23 :2767–71.",,,,,,,
CG15AdultST191,Effects of ramipril on cardiovascular and microvascular outcomes in people with diabetes mellitus: results of the HOPE study and MICRO-HOPE substudy. Heart Outcomes Prevention Evaluation Study Investigators. Lancet 2000; 355 :253–9.,,,,,,,
CG15AdultST192,"Yusuf S, Dagenais G, Pogue J et al . Vitamin E supplementation and cardiovascular events in high-risk patients. The Heart Outcomes Prevention Evaluation Study Investigators. New England Journal of Medicine 2000; 342 :154–60.",,,,,,,
CG15AdultST193,"McAlister FA, Zarnke KB, Campbell NR et al ; Canadian Hypertension Recommendations Working Group. The 2001 Canadian recommendations for the management of hypertension. Part two – therapy. Canadian Journal of Cardiology 2002; 18 :625–41.",,,,,,,
CG15AdultST194,"Scottish Intercollegiate Guidelines Network. Hypertension in older people . SIGN Publication No. 49: Edinburgh: SIGN, 2001.",,,,,,,
CG15AdultST195,"Adler AI, Stratton IM, Neil HA et al . Association of systolic blood pressure with macrovascular and microvascular complications of type 2 diabetes (UKPDS 36): prospective observational study. British Medical Journal 2000; 321 :412–9.",,,,,,,
CG15AdultST196,"Ramsay L, Williams B, Johnston G et al . Guidelines for management of hypertension: report of the third working party of the British Hypertension Society. Review. Journal of Human Hypertension 1999; 13 : 569–92.",,,,,,,
CG15AdultST197,ALLHAT Officers and Coordinators for the ALLHAT Collaborative Research Group. The Antihypertensive and Lipid-Lowering Treatment to Prevent Heart Attack Trial. Major outcomes in high-risk hypertensive patients randomized to angiotensin-converting enzyme inhibitor or calcium channel blocker vs diuretic: The Antihypertensive and Lipid-Lowering Treatment to Prevent Heart Attack Trial (ALLHAT). Journal of the American Medical Association 2002; 288 :2981–97.,,,,,,,
CG15AdultST198,"Schwartz SL, Hanson C, Lucas C et al . Double-blind, placebo-controlled study of ramipril in diabetics with mild to moderate hypertension. Clinical Therapeutics 1993; 15 :79–87.",,,,,,,
CG15AdultST199,"Ferrier C, Ferrari P, Weidmann P et al . Swiss hypertension treatment programme with verapamil and/or enalapril in diabetic patients. Drugs 1992; 44 (Suppl 1):74–84.",,,,,,,
CG15AdultST200,"Hutchinson A, McIntosh A, Peters J et al . Effectiveness of screening and monitoring tests for diabetic retinopathy – a systematic review. Diabetic Medicine 2000; 17 :495–506. 162 Type 1 diabetes in adults: national clinical guideline for diagnosis and management",,,,,,,
CG15AdultST201,"National Institute for Clinical Excellence. Management of type 2 diabetes: retinopathy – screening and early management . London: NICE, 2002:2.1.2.",,,,,,,
CG15AdultST202,"Cummins E, Facey K, Macpherson K et al . Health Technology Assessment of Organization of Services for Diabetic Retinopathy Screening (project) . Glasgow: Health Technology Board for Scotland, 2001.",,,,,,,
CG15AdultST203,"Agence d’Evaluation des Technologies et des Modes d’Intervention en Santé. Screening for diabetic retinopathy: validation of a system using telemedicine approach – primary research (project) . Quebec: AETMIS, 2002.",,,,,,,
CG15AdultST204,"Pandit RJ, Taylor R. Quality assurance in screening for sight-threatening diabetic retinopathy. Diabetic Medicine 2002; 19 :285–91.",,,,,,,
CG15AdultST205,"Mallamaci F, Zuccala A, Zoccali C et al . The deletion polymorphism of the angiotensin-converting enzyme is associated with nephroangiosclerosis. American Journal of Hypertension 2000; 13 :433–7.",,,,,,,
CG15AdultST206,Taylor R. Practical community screening for diabetic retinopathy using the mobile retinal camera: report of a 12 centre study. British Diabetic Association Mobile Retinal Screening Group. Diabetic Medicine 1996; 13 :946–52.,,,,,,,
CG15AdultST207,Frank RN. Aldose reductase inhibition. The chemical key to the control of diabetic retinopathy? Archives of Ophthalmology 1990; 108 :1229–31.,,,,,,,
